sex,studytime,failures,absences,schoolsup,famsup,internet,health,G3
M,3,0,5,no,yes,no,3,15
F,2,0,4,no,no,yes,3,16
M,2,0,5,yes,no,yes,5,16
M,3,0,5,no,yes,yes,3,20
M,3,0,3,no,no,no,2,19
F,1,0,1,no,yes,yes,3,16
M,4,0,4,no,no,yes,3,20
M,3,0,8,yes,no,no,3,17
M,4,0,3,no,yes,yes,4,20
F,3,1,2,yes,yes,yes,4,13
M,3,1,4,yes,no,yes,4,14
M,2,0,3,no,no,yes,5,14
M,4,2,3,no,yes,yes,2,19
M,4,0,2,no,no,yes,4,20
F,1,0,5,no,no,no,3,13
M,1,0,5,no,no,no,4,16
F,2,0,4,no,yes,yes,3,15
F,3,1,3,yes,no,yes,5,14
F,4,0,7,no,no,yes,4,19
M,1,2,4,no,yes,yes,5,9
F,2,0,3,no,no,yes,4,11
M,2,2,0,no,no,yes,5,12
F,4,0,2,no,no,no,4,19
F,3,0,3,no,yes,yes,3,16
F,3,0,3,no,no,yes,2,15
F,2,0,5,no,no,no,3,16
F,2,0,4,no,no,yes,1,14
F,2,0,5,no,no,yes,3,16
F,1,1,7,no,no,yes,3,13
F,4,0,3,no,no,yes,3,20
M,3,0,5,no,yes,no,5,18
M,4,0,2,no,no,yes,5,20
F,4,0,6,no,no,no,2,16
F,2,0,5,no,yes,no,3,17
F,3,0,6,no,no,no,3,20
M,4,0,3,no,no,no,3,20
F,3,0,2,no,yes,yes,4,20
M,1,0,1,no,yes,yes,3,12
M,2,0,2,no,yes,yes,3,14
M,1,0,3,yes,yes,yes,4,17
M,4,0,2,no,no,no,4,20
M,3,0,7,no,yes,yes,2,20
F,1,0,2,no,no,no,4,12
F,3,0,4,no,no,no,3,14
F,3,2,4,no,yes,no,2,11
F,2,0,0,yes,no,no,1,10
F,1,1,4,no,no,yes,3,13
M,3,0,6,no,no,yes,3,19
F,2,0,4,no,yes,yes,2,15
F,3,0,7,yes,yes,yes,4,20
M,2,2,2,no,no,yes,4,15
F,4,0,4,no,no,no,2,18
M,2,1,5,no,no,no,1,15
F,2,1,5,no,no,yes,4,16
M,4,0,1,no,yes,yes,1,20
F,2,0,5,no,no,yes,5,17
F,1,0,3,no,yes,yes,3,15
M,1,0,4,no,yes,yes,3,12
M,3,1,2,yes,no,yes,2,10
M,3,2,5,no,yes,yes,1,14
M,3,0,8,no,no,yes,2,19
M,1,0,4,no,no,yes,2,15
M,1,1,9,no,yes,yes,3,10
M,1,0,3,yes,no,yes,2,10
M,2,1,3,yes,no,yes,3,13
F,2,0,0,no,no,yes,3,14
F,2,0,4,no,yes,no,2,16
M,2,0,4,no,no,yes,1,17
F,4,0,1,no,no,yes,1,18
F,2,0,3,no,no,no,1,16
F,2,0,4,yes,yes,yes,4,13
F,3,0,7,yes,no,no,3,15
M,2,0,4,no,yes,yes,4,18
F,3,1,3,no,no,yes,3,16
M,4,0,1,no,yes,yes,3,20
F,4,0,5,no,no,yes,3,20
F,1,0,7,no,no,yes,4,17
F,4,0,4,no,yes,yes,2,20
M,2,0,4,no,yes,yes,2,17
F,2,0,1,no,no,yes,3,15
M,2,0,8,yes,no,yes,3,14
F,4,0,4,yes,no,yes,3,20
M,2,0,1,no,no,yes,3,19
F,2,0,1,no,yes,yes,3,18
M,3,3,2,no,no,yes,3,11
M,1,0,4,no,no,no,3,15
F,1,0,0,no,no,yes,4,12
M,1,0,7,yes,no,yes,4,10
F,1,0,4,no,no,yes,3,15
F,1,0,7,no,no,yes,4,12
F,1,0,6,no,yes,no,4,15
F,3,3,5,no,no,yes,3,11
F,1,0,7,no,no,yes,3,15
F,2,0,6,no,yes,yes,4,12
F,4,0,8,no,no,no,3,20
F,2,0,4,no,no,yes,1,15
F,3,0,2,no,no,no,4,20
F,1,0,8,no,no,no,1,15
F,1,0,6,yes,no,yes,4,13
M,1,1,2,yes,yes,no,4,12
M,1,0,5,no,no,yes,5,10
F,2,0,4,no,no,no,1,13
F,1,0,3,no,no,yes,3,12
F,1,0,4,no,no,yes,3,14
F,1,0,3,no,yes,yes,3,14
F,2,0,3,no,no,no,1,14
F,1,0,6,no,no,yes,3,13
F,2,1,3,no,no,yes,3,14
F,2,0,3,no,no,yes,2,15
M,3,0,3,yes,no,yes,3,15
F,1,1,5,no,no,yes,4,11
M,3,0,3,no,no,yes,4,16
F,3,0,4,no,no,yes,5,17
F,1,0,3,yes,no,yes,3,12
M,4,0,3,no,no,yes,5,18
F,4,0,6,no,no,yes,4,20
M,1,3,4,no,no,yes,2,8
F,2,0,7,no,yes,no,2,14
F,3,0,0,no,no,yes,3,19
M,3,0,6,no,yes,no,3,17
F,1,0,3,no,no,no,3,13
M,1,0,4,no,no,yes,3,14
F,2,0,3,no,no,yes,4,16
M,2,2,5,no,no,no,3,12
M,3,0,3,no,yes,yes,2,20
F,2,0,2,no,no,yes,4,20
F,2,0,1,no,no,yes,3,13
M,3,0,4,no,no,yes,5,18
F,1,0,9,no,yes,no,2,14
F,2,0,2,no,no,yes,5,19
F,3,1,6,yes,no,yes,1,13
M,4,0,5,no,no,yes,2,19
M,2,0,3,no,no,yes,1,14
M,2,1,3,no,no,yes,4,12
M,1,2,2,no,no,yes,4,10
M,2,0,4,yes,no,no,3,15
M,2,0,3,no,no,yes,5,16
